Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
600,flat,m3m golfestate,sector 65,6.15,18287.0,3.0,3.0,3,23.0,Moderately Old,3027.0,1.0,1.0,0.0,0.0,0.0,2.0,60.0,"28.4030° N, 77.0690° E",28.403,77.069
601,flat,dlf the primus,sector 82a,2.85,10936.0,4.0,4.0,3+,2.0,New Property,2179.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,"28.3858° N, 76.9686° E",28.3858,76.9686
602,flat,dlf the ultima,sector 81,3.46,12047.0,4.0,4.0,3+,10.0,New Property,2599.0,0.0,1.0,0.0,0.0,0.0,1.0,161.0,"28.3867° N, 76.9485° E",28.3867,76.9485
603,house,independent,sector 25,4.31,31926.0,5.0,4.0,3,3.0,Old Property,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,"28.4844° N, 77.0860° E",28.4844,77.086
604,flat,ss the leaf,sector 85,2.2,5641.0,4.0,6.0,3,10.0,Relatively New,3920.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0,"28.4042° N, 76.9513° E",28.4042,76.9513
605,flat,assotech blith,sector 99,0.92,6740.0,2.0,2.0,3+,22.0,Under Construction,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,"28.4640° N, 76.9614° E",28.464,76.9614
606,flat,godrej nature plus,sector 33,1.2,13363.0,2.0,2.0,0,11.0,Under Construction,85.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,"28.4420° N, 77.0207° E",28.442,77.0207
607,flat,dlf new town heights,sector 86,1.28,8205.0,3.0,4.0,3+,12.0,Moderately Old,1740.0,0.0,1.0,0.0,1.0,0.0,0.0,96.0,"28.3986° N, 76.9384° E",28.3986,76.9384
608,flat,not applicable,sector 4,0.42,5600.0,2.0,2.0,1,3.0,Relatively New,833.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,"28.4738° N, 77.0107° E",28.4738,77.0107
609,flat,m3m skycity,sector 65,3.5,17040.0,3.0,3.0,3,15.0,New Property,2282.0,1.0,1.0,0.0,1.0,0.0,2.0,166.0,"28.4030° N, 77.0690° E",28.403,77.069
